RoadID,RoadName,CountyID,TownName,RoadClass,RoadClassName,Version,UpdateDate
600509A,樂利路,A,大安區,6,市區一般道路,23.05.1,2018-09-28
600511A,樂群一路,A,中山區,6,市區一般道路,23.05.1,2018-09-28
600512A,樂群二路,A,中山區,6,市區一般道路,23.05.1,2018-09-28
600513A,樂群三路,A,中山區,6,市區一般道路,23.05.1,2018-09-28
600515A,樹林路,A,北投區,6,市區一般道路,23.05.1,2018-09-28
600516A,橫科路,A,南港區,6,市區一般道路,23.05.1,2018-09-28
600523A,民族東路,A,中山區,6,市區一般道路,23.05.1,2018-09-28
600525A,民族西路,A,中山區,6,市區一般道路,23.05.1,2018-09-28
600527A,民權東路一段,A,中山區,6,市區一般道路,23.05.1,2018-09-28
600528A,民權東路二段,A,中山區,6,市區一般道路,23.05.1,2018-09-28
600529A,民權東路三段,A,中山區,6,市區一般道路,23.05.1,2018-09-28
600530A,民權東路四段,A,松山區,6,市區一般道路,23.05.1,2018-09-28
